               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12046,             0.04158,            0.086919,                   0,                   0,                   0,                   0,             0.11411,            0.052908,            0.083526,            0.070732,            0.003252,            0.003252
                   1,             0.11113,             0.04524,            0.080107,          0.00034983,           0.0066043,          0.00021043,          3.6604e-05,             0.10438,            0.058933,            0.078669,            0.040667,           0.0065202,           0.0065202
                   2,             0.10361,            0.044976,            0.075259,             0.63552,           0.0052632,           0.0023269,          0.00052435,              0.1002,            0.049711,            0.074529,            0.010535,           0.0097223,           0.0097223
                   3,             0.10261,             0.03986,            0.070522,             0.89869,           0.0071124,           0.0029445,          0.00040252,              0.1026,            0.051166,            0.071318,            0.009703,            0.009703,            0.009703
                   4,            0.094009,            0.039512,            0.064217,             0.31735,            0.036273,           0.0035412,           0.0009276,            0.099644,            0.047511,            0.063829,            0.009703,            0.009703,            0.009703
                   5,            0.085083,            0.040965,            0.063758,            0.062797,             0.21825,            0.020735,           0.0049218,            0.087265,            0.056915,            0.060194,            0.009604,            0.009604,            0.009604
                   6,             0.08367,            0.042174,            0.064075,           0.0091621,              0.3726,            0.025434,           0.0066438,            0.079432,             0.05757,            0.059544,            0.009505,            0.009505,            0.009505
                   7,            0.077169,            0.044311,            0.058795,             0.38415,             0.08521,            0.033759,            0.011541,            0.076898,            0.053396,            0.058721,            0.009406,            0.009406,            0.009406
                   8,            0.078094,            0.042816,            0.059286,             0.27452,             0.11441,            0.025821,           0.0097998,             0.08458,             0.04427,            0.057488,            0.009307,            0.009307,            0.009307
                   9,            0.075585,            0.042097,            0.060176,             0.54322,            0.077811,            0.039855,             0.01519,            0.074652,            0.049973,            0.056778,            0.009208,            0.009208,            0.009208
                  10,            0.074451,            0.044985,            0.058826,             0.55103,             0.10871,            0.047088,            0.017683,            0.071522,            0.055655,            0.056115,            0.009109,            0.009109,            0.009109
                  11,             0.07297,            0.042628,            0.058995,             0.50422,             0.19584,            0.079507,            0.027265,            0.064536,            0.047297,            0.054114,             0.00901,             0.00901,             0.00901
                  12,            0.065492,            0.039482,            0.055983,             0.75494,            0.066271,             0.11386,            0.033659,             0.06359,            0.046777,            0.052931,            0.008911,            0.008911,            0.008911
                  13,            0.064074,            0.041797,            0.056693,             0.75841,            0.065677,             0.10259,              0.0338,            0.059533,            0.048963,            0.052412,            0.008812,            0.008812,            0.008812
